raw_person_id,raw_name,normalized_name,canonical_key,suggested_canonical_name,mention_letters_count,sender_letters_count,recipient_letters_count,action,canonical_name_override,notes
1462,Benson J. Lossing Esq.,benson j lossing esq,benson_j_lossing_esq,Benson J. Lossing Esq.,0,0,1,review,,
2671,Bensons,bensons,bensons,Bensons,1,0,0,review,,
1743,Benton,benton,benton,Benton,4,0,0,review,,
1856,Betty Robinson,betty robinson,betty_robinson,Betty Robinson,1,0,0,review,,
1647,Bill,bill,bill,Bill,57,0,0,review,,
3361,Bill Arps,bill arps,bill_arps,Bill Arps,1,0,0,review,,
2142,Bill Beattie,bill beattie,bill_beattie,Bill Beattie,14,0,0,review,,
3320,Bill Fisher,bill fisher,bill_fisher,Bill Fisher &,3,0,0,review,,
5488,Bill Fisher &,bill fisher,bill_fisher,Bill Fisher &,1,0,0,review,,
3111,Bill Jones,bill jones,bill_jones,Bill Jones,1,0,0,review,,
2329,Bill Thompson,bill thompson,bill_thompson,Bill Thompson,7,0,0,review,,
2262,Billy Sherrord,billy sherrord,billy_sherrord,Billy Sherrord,1,0,0,review,,
3450,Birdsall,birdsall,birdsall,Birdsall,1,0,0,review,,
3380,Birnie,birnie,birnie,Birnie,1,0,0,review,,
3220,Bishop Davis,bishop davis,bishop_davis,Bishop Davis,2,0,0,review,,
3452,Bishop Doane,bishop doane,bishop_doane,Bishop Doane,1,0,0,review,,
2504,Bishop Elliott,bishop elliott,bishop_elliott,Bishop Elliott,1,0,0,review,,
3176,Bivings,bivings,bivings,Bivings,2,0,0,review,,
3137,Blackberry,blackberry,blackberry,Blackberry,1,0,0,review,,
1840,Blake,blake,blake,Blake,8,0,0,review,,
2687,Blanding,blanding,blanding,Blanding,4,0,0,review,,
2325,Blands Ford,blands ford,blands_ford,Blands Ford,1,0,0,review,,
2079,Blassingame,blassingame,blassingame,Blassingame,2,0,0,review,,
3388,Blounts,blounts,blounts,Blounts,1,0,0,review,,
2797,Boats,boats,boats,Boats,1,0,0,review,,
2695,Boatwright,boatwright,boatwright,Boatwright,1,0,0,review,,
1832,Bob,bob,bob,Bob,1,0,0,review,,
2094,Bob M,bob m,bob_m,Bob M,1,0,0,review,,
1831,Bob Spurgeon,bob spurgeon,bob_spurgeon,Bob Spurgeon,1,0,0,review,,
2594,Bobo,bobo,bobo,Bobo,3,0,0,review,,
4666,Bobo & Col,bobo  col,bobo__col,Bobo & Col,1,0,0,review,,
2038,Boggs,boggs,boggs,Boggs,3,0,0,review,,
2389,Boinest,boinest,boinest,Boinest,1,0,0,review,,
1929,Boles,boles,boles,Boles,1,0,0,review,,
2209,Bolling,bolling,bolling,Bolling,2,0,0,review,,
2145,Bollings,bollings,bollings,Bollings,1,0,0,review,,
1678,Bonham,bonham,bonham,Bonham,13,0,0,review,,
3505,Bonham Solicitor,bonham solicitor,bonham_solicitor,Bonham Solicitor,1,0,0,review,,
3126,Bonnett,bonnett,bonnett,Bonnett,1,0,0,review,,
1879,Bookman,bookman,bookman,Bookman,1,0,0,review,,
2311,Boozer,boozer,boozer,Boozer,1,0,0,review,,
1850,Bossett,bossett,bossett,Bossett,1,0,0,review,,
1884,Bostick,bostick,bostick,Bostick,2,0,0,review,,
2571,Bowen,bowen,bowen,Bowen,1,0,0,review,,
1558,Box,box,box,Box,10,0,0,review,,
1989,Boyce,boyce,boyce,Boyce,12,0,0,review,,
3094,Boylston,boylston,boylston,Boylston,1,0,0,review,,
3001,Boysno,boysno,boysno,Boysno,1,0,0,review,,
2310,Bozeman,bozeman,bozeman,Bozeman,3,0,0,review,,
2243,Brackenridge,brackenridge,brackenridge,Brackenridge,1,0,0,review,,
1661,Bradford,bradford,bradford,Bradford,3,0,0,review,,
2639,Bradl[e]y,bradley,bradley,Bradl[e]y,2,0,0,review,,
5420,Bradl[e]ys,bradleys,bradleys,Bradl[e]ys,1,0,0,review,,
3255,Bradley,bradley,bradley,Bradl[e]y,1,0,0,review,,
3274,Bradleys,bradleys,bradleys,Bradl[e]ys,3,0,0,review,,
2379,Bradly,bradly,bradly,Bradly,1,0,0,review,,
1969,Bradshaw,bradshaw,bradshaw,Bradshaw,1,0,0,review,,
2935,Brady,brady,brady,Brady,1,0,0,review,,
2289,Braggs,braggs,braggs,Braggs,1,0,0,review,,
3073,Bramlett,bramlett,bramlett,Bramlett,3,0,0,review,,
2075,Branchville,branchville,branchville,Branchville,1,0,0,review,,
1973,Brandy,brandy,brandy,Brandy,1,0,0,review,,
1972,Brandy Station,brandy station,brandy_station,Brandy Station,1,0,0,review,,
1966,Bread,bread,bread,Bread,1,0,0,review,,
2588,Brenan,brenan,brenan,Brenan,1,0,0,review,,
1566,Bridge,bridge,bridge,Bridge,1,0,0,review,,
3078,Briggs,briggs,briggs,Briggs,1,0,0,review,,
1797,Broach,broach,broach,Broach,1,0,0,review,,
3412,Broadcast,broadcast,broadcast,Broadcast,1,0,0,review,,
2263,Broadmouth,broadmouth,broadmouth,Broadmouth,1,0,0,review,,
1658,Brooks,brooks,brooks,Brooks,9,0,0,review,,
1776,Brown,brown,brown,Brown,9,0,0,review,,
1562,Browns,browns,browns,Browns,2,0,0,review,,
1563,Broyles,broyles,broyles,Broyles,3,0,0,review,,
2605,Bruce,bruce,bruce,Bruce,1,0,0,review,,
1681,Brumby,brumby,brumby,Brumby,9,0,0,review,,
2051,Bryan,bryan,bryan,Bryan,3,0,0,review,,
2567,Bryant,bryant,bryant,Bryant,3,0,0,review,,
2493,Bryants Bill,bryants bill,bryants_bill,Bryants Bill,1,0,0,review,,
1633,Bryce,bryce,bryce,Bryce,4,0,0,review,,
2749,Bs John,bs john,bs_john,Bs John,1,0,0,review,,
2049,Bton,bton,bton,Bton,1,0,0,review,,
2272,Buena Vista,buena vista,buena_vista,Buena Vista,1,0,0,review,,
1780,Buist,buist,buist,Buist,8,0,0,review,,
1948,Bull,bull,bull,Bull,3,0,0,review,,
2929,Bullen,bullen,bullen,Bullen,1,0,0,review,,
3427,Buncombe,buncombe,buncombe,Buncombe,1,0,0,review,,
2577,Bundle,bundle,bundle,Bundle,1,0,0,review,,
2450,Burgess,burgess,burgess,Burgess,2,0,0,review,,
3230,Bursar,bursar,bursar,Bursar,2,0,0,review,,
3234,Burser,burser,burser,Burser,1,0,0,review,,
1629,Burt,burt,burt,Burt,45,0,0,review,,
2717,Burt Perry,burt perry,burt_perry,Burt Perry,1,0,0,review,,
2881,Burton,burton,burton,Burton,1,0,0,review,,
1814,Burts,burts,burts,Burts,2,0,0,review,,
3324,Burtspent,burtspent,burtspent,Burtspent,1,0,0,review,,
2755,Butin,butin,butin,Butin,1,0,0,review,,
1788,Butler,butler,butler,Butler,60,0,0,review,,
2333,Butler Thompson,butler thompson,butler_thompson,Butler Thompson,3,0,0,review,,
3302,Butlers,butlers,butlers,Butlers,1,0,0,review,,
2300,Butter,butter,butter,Butter,2,0,0,review,,
4335,C,c,c,&c.,1,0,0,review,,
2487,C Butler,c butler,c_butler,C Butler,1,0,0,review,,
2698,C.J. Elford,cj elford,cj_elford,C.J. Elford,1,0,0,review,,
3455,Cadiz,cadiz,cadiz,Cadiz,1,0,0,review,,
2277,Caesoria,caesoria,caesoria,Caesoria,1,0,0,review,,
2853,Cain,cain,cain,Cain,4,0,0,review,,
3216,Caines,caines,caines,Caines,1,0,0,review,,
3170,Caldwell,caldwell,caldwell,Caldwell,2,0,0,review,,
1711,Caldwells,caldwells,caldwells,Caldwells,5,0,0,review,,
1627,Calhoun,calhoun,calhoun,Calhoun,21,0,0,review,,
1741,Calhouns,calhouns,calhouns,Calhouns,3,0,0,review,,
2376,Calvin,calvin,calvin,Calvin,1,0,0,review,,
2231,Campbell,campbell,campbell,Campbell,6,0,0,review,,
2524,Canty,canty,canty,Canty,1,0,0,review,,
2380,Carlisle,carlisle,carlisle,Carlisle,3,0,0,review,,
3275,Carlisles,carlisles,carlisles,Carlisles,1,0,0,review,,
2640,Carlyle,carlyle,carlyle,Carlyle,1,0,0,review,,
2580,Carn,carn,carn,Carn,2,0,0,review,,
2579,Carn of Walterborough,carn of walterborough,carn_of_walterborough,Carn of Walterborough,1,0,0,review,,
2274,Carrol,carrol,carrol,Carrol,1,0,0,review,,
3305,Carry,carry,carry,Carry,1,0,0,review,,
2378,Carson,carson,carson,Carson,5,0,0,review,,
2404,Carter,carter,carter,Carter,5,0,0,review,,
2650,Carter & Allen,carter  allen,carter__allen,Carter & Allen,1,0,0,review,,
3377,Carter Pool,carter pool,carter_pool,Carter Pool,1,0,0,review,,
3133,Carters Book,carters book,carters_book,Carters Book,1,0,0,review,,
2354,Casey,casey,casey,Casey,2,0,0,review,,
2175,Cass,cass,cass,Cass,2,0,0,review,,
2778,Center,center,center,Center,2,0,0,review,,
1792,Chalmers,chalmers,chalmers,Chalmers,1,0,0,review,,
2009,Charles,charles,charles,Charles,8,0,0,review,,
2726,Charles Alexander Thornwell,charles alexander thornwell,charles_alexander_thornwell,[Charles Alexander] Thornwell,1,0,0,review,,
3490,Charles Hammond,charles hammond,charles_hammond,Charles Hammond,1,0,0,review,,
2218,Charles Henry Simonton,charles henry simonton,charles_henry_simonton,Charles Henry] Simonton,1,0,0,review,,
4197,Charles Henry] Simonton,charles henry simonton,charles_henry_simonton,Charles Henry] Simonton,1,0,0,review,,
2451,Charles Hill,charles hill,charles_hill,Charles Hill,1,0,0,review,,
1050,Charles Lanman,charles lanman,charles_lanman,Charles Lanman,0,0,1,review,,
3034,Charles Magill Conrad,charles magill conrad,charles_magill_conrad,Charles Magill] Conrad,1,0,0,review,,
5075,Charles Magill] Conrad,charles magill conrad,charles_magill_conrad,Charles Magill] Conrad,1,0,0,review,,
2959,Charles Sullivan,charles sullivan,charles_sullivan,Charles Sullivan,1,0,0,review,,
2125,Charley,charley,charley,Charley,3,0,0,review,,
2765,Charley Ketchum,charley ketchum,charley_ketchum,Charley Ketchum,1,0,0,review,,
1572,Charley Lanneau,charley lanneau,charley_lanneau,Charley Lanneau,1,0,0,review,,
3050,Charley ONeal,charley oneal,charley_oneal,Charley ONeal,1,0,0,review,,
1574,Charlie,charlie,charlie,Charlie,1,0,0,review,,
2275,Charlotte Smith,charlotte smith,charlotte_smith,Charlotte Smith,1,0,0,review,,
3210,Che Smith,che smith,che_smith,Che Smith,1,0,0,review,,
3256,Cherry,cherry,cherry,Cherry,1,0,0,review,,
3179,Chesney Smith,chesney smith,chesney_smith,Chesney Smith,1,0,0,review,,
