canonical_key,full_name,display_name,birth_year,death_year,birth_place_id,death_place_id,race_code,gender,class_code,occupation,home_region_sc_code,enslaved_status,source_density_code,representation_depth_code,erasure_flag,erasure_reason_code,notes
heywards,Heywards,Heywards,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2200
hicks,Hicks,Hicks,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3272
higgins,Higgins,Higgins,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3238
hill,Hill,Hill,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2645
hillhouse,Hillhouse,Hillhouse,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2546
hobby,Hobby,Hobby,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3296
hodges,Hodges,Hodges,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2285
hoke,Hoke,Hoke,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2056
holbeck,Holbeck,Holbeck,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3172
hole,Hole,Hole,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2782
holl,Holl,Holl,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2154
holland,Holland,Holland,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3363
home,Home,Home,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2584
homer,Homer,Homer,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2517
homes,Homes,Homes,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3166
hon_j_izard_middleton,Hon. J. Izard Middleton,Hon. J. Izard Middleton,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1528
honea_path,Honea Path,Honea Path,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2823
hood,Hood,Hood,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3336
hooks,Hooks,Hooks,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2117
hopkins_williams,Hopkins Williams,Hopkins Williams,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2232
horn,Horn,Horn,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3237
horton,Horton,Horton,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2673
hough,Hough,Hough,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2812
howard,Howard,Howard,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1624
howell,Howell,Howell,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2641
howlike,Howlike,Howlike,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3201
hoyt,Hoyt,Hoyt,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3391
hubbard,Hubbard,Hubbard,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2944
hudson,Hudson,Hudson,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2251
huger,Huger,Huger,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2469
hughes,Hughes,Hughes,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2965
hughson,Hughson,Hughson,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2302
hunt,Hunt,Hunt,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1949
hunter,Hunter,Hunter,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1771
hunters,Hunters,Hunters,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1770
hurrah,Hurrah,Hurrah,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1569
husband,Husband,Husband,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2170
hutson,Hutson,Hutson,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2977
i,I.,I.,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 5583
ill,Ill,Ill,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 4645
ingersoll,Ingersoll,Ingersoll,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2806
ingersolls,Ingersolls,Ingersolls,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2014
inkstand_ivory,inkstand ivory,inkstand ivory,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 5284
inson,Inson,Inson,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 2928,4958"
intelligencer,Intelligencer,Intelligencer,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1885
ioor,Ioor,Ioor,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2028
irby,Irby,Irby,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1891
irvin,Irvin,Irvin,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2029
irvine,Irvine,Irvine,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2030
irvine_jones,Irvine Jones,Irvine Jones,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2245
irwin,Irwin,Irwin,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3036
isaac,Isaac,Isaac,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3053
isaac__william_taylor,Isaac & William Taylor,Isaac & William Taylor,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 5021
isaac_bryan,Isaac Bryan,Isaac Bryan,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2711
isaac_hayne,Isaac Hayne &,Isaac Hayne &,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 1612,2077,2088"
isaac_hayne__captain,Isaac Hayne & Captain,Isaac Hayne & Captain,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 4880
isaac_henry,Isaac Henry,Isaac Henry,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2008
isaac_holmes,Isaac] Holmes,Isaac] Holmes,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 1816,3781"
isaac_taylor,Isaac Taylor,Isaac Taylor,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2981
isaacs,Isaacs,Isaacs,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3277
iva_williams,Iva Williams,Iva Williams,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2888
ivory_match_box,ivory match box,ivory match box,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 5285
izard,Izard,Izard,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2880
izardrequested,Izardrequested,Izardrequested,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3368
j_izard_middleton,J. Izard Middleton,J. Izard Middleton,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2708
