canonical_key,alias_name,source_id,notes
bill_thompson,Bill Thompson,,From BFPerry person_id=2329
billy_sherrord,Billy Sherrord,,From BFPerry person_id=2262
birdsall,Birdsall,,From BFPerry person_id=3450
birnie,Birnie,,From BFPerry person_id=3380
bishop_davis,Bishop Davis,,From BFPerry person_id=3220
bishop_doane,Bishop Doane,,From BFPerry person_id=3452
bishop_elliott,Bishop Elliott,,From BFPerry person_id=2504
bivings,Bivings,,From BFPerry person_id=3176
blackberry,Blackberry,,From BFPerry person_id=3137
blake,Blake,,From BFPerry person_id=1840
blanding,Blanding,,From BFPerry person_id=2687
blands_ford,Blands Ford,,From BFPerry person_id=2325
blassingame,Blassingame,,From BFPerry person_id=2079
blounts,Blounts,,From BFPerry person_id=3388
boats,Boats,,From BFPerry person_id=2797
boatwright,Boatwright,,From BFPerry person_id=2695
bob,Bob,,From BFPerry person_id=1832
bob_m,Bob M,,From BFPerry person_id=2094
bob_spurgeon,Bob Spurgeon,,From BFPerry person_id=1831
bobo,Bobo,,From BFPerry person_id=2594
bobo__col,Bobo & Col,,From BFPerry person_id=4666
boggs,Boggs,,From BFPerry person_id=2038
boinest,Boinest,,From BFPerry person_id=2389
boles,Boles,,From BFPerry person_id=1929
bolling,Bolling,,From BFPerry person_id=2209
bollings,Bollings,,From BFPerry person_id=2145
bonham,Bonham,,From BFPerry person_id=1678
bonham_solicitor,Bonham Solicitor,,From BFPerry person_id=3505
bonnett,Bonnett,,From BFPerry person_id=3126
bookman,Bookman,,From BFPerry person_id=1879
boozer,Boozer,,From BFPerry person_id=2311
bossett,Bossett,,From BFPerry person_id=1850
bostick,Bostick,,From BFPerry person_id=1884
bowen,Bowen,,From BFPerry person_id=2571
box,Box,,From BFPerry person_id=1558
boyce,Boyce,,From BFPerry person_id=1989
boylston,Boylston,,From BFPerry person_id=3094
boysno,Boysno,,From BFPerry person_id=3001
bozeman,Bozeman,,From BFPerry person_id=2310
brackenridge,Brackenridge,,From BFPerry person_id=2243
bradford,Bradford,,From BFPerry person_id=1661
bradley,Bradl[e]y,,From BFPerry person_id=2639
bradley,Bradley,,From BFPerry person_id=3255
bradleys,Bradl[e]ys,,From BFPerry person_id=5420
bradleys,Bradleys,,From BFPerry person_id=3274
bradly,Bradly,,From BFPerry person_id=2379
bradshaw,Bradshaw,,From BFPerry person_id=1969
brady,Brady,,From BFPerry person_id=2935
braggs,Braggs,,From BFPerry person_id=2289
bramlett,Bramlett,,From BFPerry person_id=3073
branchville,Branchville,,From BFPerry person_id=2075
brandy,Brandy,,From BFPerry person_id=1973
brandy_station,Brandy Station,,From BFPerry person_id=1972
bread,Bread,,From BFPerry person_id=1966
brenan,Brenan,,From BFPerry person_id=2588
bridge,Bridge,,From BFPerry person_id=1566
briggs,Briggs,,From BFPerry person_id=3078
broach,Broach,,From BFPerry person_id=1797
broadcast,Broadcast,,From BFPerry person_id=3412
broadmouth,Broadmouth,,From BFPerry person_id=2263
brooks,Brooks,,From BFPerry person_id=1658
brown,Brown,,From BFPerry person_id=1776
browns,Browns,,From BFPerry person_id=1562
broyles,Broyles,,From BFPerry person_id=1563
bruce,Bruce,,From BFPerry person_id=2605
brumby,Brumby,,From BFPerry person_id=1681
bryan,Bryan,,From BFPerry person_id=2051
bryant,Bryant,,From BFPerry person_id=2567
bryants_bill,Bryants Bill,,From BFPerry person_id=2493
bryce,Bryce,,From BFPerry person_id=1633
bs_john,Bs John,,From BFPerry person_id=2749
bton,Bton,,From BFPerry person_id=2049
buena_vista,Buena Vista,,From BFPerry person_id=2272
buist,Buist,,From BFPerry person_id=1780
bull,Bull,,From BFPerry person_id=1948
bullen,Bullen,,From BFPerry person_id=2929
buncombe,Buncombe,,From BFPerry person_id=3427
bundle,Bundle,,From BFPerry person_id=2577
burgess,Burgess,,From BFPerry person_id=2450
bursar,Bursar,,From BFPerry person_id=3230
burser,Burser,,From BFPerry person_id=3234
burt,Burt,,From BFPerry person_id=1629
burt_perry,Burt Perry,,From BFPerry person_id=2717
burton,Burton,,From BFPerry person_id=2881
burts,Burts,,From BFPerry person_id=1814
burtspent,Burtspent,,From BFPerry person_id=3324
butin,Butin,,From BFPerry person_id=2755
butler,Butler,,From BFPerry person_id=1788
butler_thompson,Butler Thompson,,From BFPerry person_id=2333
butlers,Butlers,,From BFPerry person_id=3302
butter,Butter,,From BFPerry person_id=2300
c_butler,C Butler,,From BFPerry person_id=2487
cj_elford,C.J. Elford,,From BFPerry person_id=2698
cadiz,Cadiz,,From BFPerry person_id=3455
caesoria,Caesoria,,From BFPerry person_id=2277
cain,Cain,,From BFPerry person_id=2853
caines,Caines,,From BFPerry person_id=3216
caldwell,Caldwell,,From BFPerry person_id=3170
caldwells,Caldwells,,From BFPerry person_id=1711
calhoun,Calhoun,,From BFPerry person_id=1627
calhouns,Calhouns,,From BFPerry person_id=1741
calvin,Calvin,,From BFPerry person_id=2376
campbell,Campbell,,From BFPerry person_id=2231
canty,Canty,,From BFPerry person_id=2524
carlisle,Carlisle,,From BFPerry person_id=2380
carlisles,Carlisles,,From BFPerry person_id=3275
carlyle,Carlyle,,From BFPerry person_id=2640
carn,Carn,,From BFPerry person_id=2580
carn_of_walterborough,Carn of Walterborough,,From BFPerry person_id=2579
carrol,Carrol,,From BFPerry person_id=2274
carry,Carry,,From BFPerry person_id=3305
carson,Carson,,From BFPerry person_id=2378
carter,Carter,,From BFPerry person_id=2404
carter__allen,Carter & Allen,,From BFPerry person_id=2650
carter_pool,Carter Pool,,From BFPerry person_id=3377
carters_book,Carters Book,,From BFPerry person_id=3133
casey,Casey,,From BFPerry person_id=2354
cass,Cass,,From BFPerry person_id=2175
center,Center,,From BFPerry person_id=2778
chalmers,Chalmers,,From BFPerry person_id=1792
charles,Charles,,From BFPerry person_id=2009
charles_hammond,Charles Hammond,,From BFPerry person_id=3490
charles_henry_simonton,Charles Henry Simonton,,From BFPerry person_id=2218
charles_henry_simonton,Charles Henry] Simonton,,From BFPerry person_id=4197
charles_hill,Charles Hill,,From BFPerry person_id=2451
charles_lanman,Charles Lanman,,From BFPerry person_id=1050
charles_magill_conrad,Charles Magill Conrad,,From BFPerry person_id=3034
charles_magill_conrad,Charles Magill] Conrad,,From BFPerry person_id=5075
charles_sullivan,Charles Sullivan,,From BFPerry person_id=2959
charley,Charley,,From BFPerry person_id=2125
charley_ketchum,Charley Ketchum,,From BFPerry person_id=2765
charley_lanneau,Charley Lanneau,,From BFPerry person_id=1572
charley_oneal,Charley ONeal,,From BFPerry person_id=3050
charlie,Charlie,,From BFPerry person_id=1574
charlotte_smith,Charlotte Smith,,From BFPerry person_id=2275
che_smith,Che Smith,,From BFPerry person_id=3210
cherry,Cherry,,From BFPerry person_id=3256
chesney_smith,Chesney Smith,,From BFPerry person_id=3179
chesnut,Chesnut,,From BFPerry person_id=1664
chester,Chester,,From BFPerry person_id=2575
chester_ch,Chester C.H.,,From BFPerry person_id=4839
cheves,Cheves,,From BFPerry person_id=2656
chick,Chick,,From BFPerry person_id=2754
childs,Childs,,From BFPerry person_id=3371
choice,Choice,,From BFPerry person_id=1720
