person_id,full_name,rel_count,category_guess,candidate_canonical_ids,candidate_canonical_names,action,merge_target_id,rename_to,notes
558,Joseph,0,surname,311;312;313;314;315;316;317;318;546;557;778;1065;1161;1255,Joseph Daniel Pope;Joseph Duncan;Joseph H. Bradley &;Joseph LeConte;Joseph N. Whitner;Joseph Newton;Joseph Powell;Joseph Woodward;Joseph Bienaime Gibert;Joseph Bienaime;Thomas Joseph Pettigrew;JOSEPH W. ALLSTON;Joseph Samuel Pettigrew;Joseph Gilbert,,,,
810,Jove,0,unmatched,,,,,,
626,Joyner,0,unmatched,,,,,,
833,JR,0,surname,466,Wade Hampton Jr.,,,,
878,Julia,0,surname,131;321,Emma Julia Blum;Julia A. Hext,,,,
1173,Jus,0,unmatched,,,,,,
882,Kame,0,unmatched,,,,,,
923,Kane,0,unmatched,,,,,,
849,Kate,0,firstname,,,,,,
1020,Katy,0,unmatched,,,,,,
792,Keith,0,surname,127,Elliott Keith,,,,
930,Keitt,0,surname,323;370,Lawrence M. Keitt;Quitman Keitt,,,,
550,Kennedy,0,unmatched,,,,,,
808,Kinloch,0,unmatched,,,,,,
980,kinsman,0,unmatched,,,,,,
1216,Lady,0,unmatched,,,,,,
752,LaFayette,0,unmatched,,,,,,
682,Lancaster,2,unmatched,,,,,,
1155,Languedoc,0,unmatched,,,,,,
646,Latinae,0,unmatched,,,,,,
589,Laura,0,surname,590,Laura Sweet,,,,
614,Laurens,3,surname,123,Eliza R. Laurens,,,,
1138,Law,0,unmatched,,,,,,
556,Lee,7,unmatched,,,,,,
701,Leigh,3,surname,689,Benjamin Watkins Leigh was,,,,
892,LeSeigneur,0,unmatched,,,,,,
1112,Levee,0,unmatched,,,,,,
745,Lewis,0,surname,324;325;511;1031;1219;1226;1231,Lewis Cass;Lewis Moonwent;William Lewis Sharkey;Lewis Young's;Lewis Gourdine;Lewis Young;Lewis Gilmer,,,,
1036,Lieut,6,unmatched,,,,,,
1022,Linda,0,unmatched,,,,,,
1152,Literary,0,unmatched,,,,,,
939,Lizzie,0,firstname,327,Lizzie R. Smith,,,,
561,Longcane,0,unmatched,,,,,,
742,Lose,0,unmatched,,,,,,
1007,Lou,0,surname,932,Little Lou,,,,
1054,Louinie,0,unmatched,,,,,,
1107,Louis,1,surname,328;549;559;582;685;721;1156,Louis Trezevant Wigfall;Jean Louis;Jean Louis Gibert;Louis Gillmer;James Louis Petigru;Louis Philippe;Louis Dumesnil de St. Pierre,,,,
829,Louisa,2,unmatched,,,,,,
560,Louise,13,surname,1205;1256,Louise Porcher;Louise Gilbert Pettigrew,,,,
851,Lowndes,0,surname,512;957,William Lowndes;James Lowndes,,,,
906,Lucia,0,unmatched,,,,,,
904,Lucy,0,firstname,,,,,,
652,Luke,0,unmatched,,,,,,
997,Lyon,0,unmatched,,,,,,
818,Ma,28,unmatched,,,,,,
1246,Mac,0,unmatched,,,,,,
1223,Mack,0,unmatched,,,,,,
1051,Mackey,0,unmatched,,,,,,
1006,Mahon,0,unmatched,,,,,,
761,Mammon,0,unmatched,,,,,,
1115,Manigault,0,unmatched,,,,,,
783,Margaret,2,firstname,,,,,,
551,Marie,0,unmatched,,,,,,
1200,Marion,0,unmatched,,,,,,
756,Marshall,0,unmatched,,,,,,
865,Martha,0,firstname,332,Martha Calhoun,,,,
598,Martin,8,surname,333;334;398;441;514;536;985,Martin Clerk;Martin Edwards;Sallie Martin;Thomas Martin Wagner;William Martin;Willie Martin;Martin L. Hurlbut,,,,
567,Mary,20,firstname,335;336;337;338;339;340;341;342;343;873;937;976;1203,Mary Adams;Mary Cleveland;Mary Dillon;Mary Hardin;Mary Jones;Mary Mauldin;Mary Mauldin Betty;Mary McCall;Mary McLain;Mary McDuffie;Mary Anne Petigru;Mary Blount;Mary Pettigrew,,,,
1104,Massey,0,unmatched,,,,,,
857,Matthew,0,surname,1137,Matthew Fon- taine Maury,,,,
874,Mattie,4,unmatched,,,,,,
1024,McClellan,2,unmatched,,,,,,
767,McCord,2,surname,769,David McCord,,,,
665,McDuffie,17,surname,176;873,George McDuffie;Mary McDuffie,,,,
726,McDufiie,0,unmatched,,,,,,
695,McDuflie,2,unmatched,,,,,,
1252,McGowan,0,surname,410,Samuel McGowan,,,,
1116,Mcintosh,0,unmatched,,,,,,
1093,McLean,0,unmatched,,,,,,
989,McLellan,0,unmatched,,,,,,
1028,Merrimack,0,unmatched,,,,,,
1194,Messrs,0,unmatched,,,,,,
970,Michael,7,unmatched,,,,,,
619,Middleton,16,surname,209;284;397;959;993;1068,J. Izard Middleton;John Izard Middleton;Russell Middleton;John Middleton;Jack Middleton;Henry Middleton*,,,,
1127,Midshipman,0,unmatched,,,,,,
1001,Miles,0,surname,345,Miles Norton,,,,
690,Milledgeville,7,unmatched,,,,,,
982,Milton,0,surname,599,Milton Ferry,,,,
574,Minny,0,unmatched,,,,,,
944,Mitchell,1,unmatched,,,,,,
1134,Moderns,0,unmatched,,,,,,
1021,Montes-,0,unmatched,,,,,,
1179,Mormons,0,unmatched,,,,,,
608,Morris,4,unmatched,,,,,,
920,Morse,1,unmatched,,,,,,
953,Morton,0,unmatched,,,,,,
696,Moultrie,1,unmatched,,,,,,
766,Mountaineers,0,unmatched,,,,,,
1182,Mouth,0,unmatched,,,,,,
